original_question,true_answer,true_source,part,model_full_response,model_answer,model_source,correct_answer,correct_part,correct_siman,correct_saif,correct_all
הבוקר התלבשתי במהירות ולא שמתי לב שהפכתי את החולצה שלי כך שהתפרים נראים מבחוץ. חבר אמר לי שזה לא ראוי על פי ההלכה. האם הוא צודק?,כן,"שו""ע או""ח ב':ג'","או""ח","תשובה: כן
מקור: שו""ע או""ח ב:ג",כן,"שו""ע או""ח ב:ג",True,True,True,True,True
"הבוקר נעלתי קודם את הנעל הימנית, קשרתי את השרוך שלה, ואז נעלתי את הנעל השמאלית וקשרתי אותה. האם פעלתי לפי הדין?",לא,"שו""ע או""ח ב:ד","או""ח","תשובה: לא
מקור: שו""ע או""ח ב:ד",לא,"שו""ע או""ח ב:ד",True,True,True,True,True
"בערב כשאני חוזר מהעבודה, אני נוהג לחלוץ קודם את הנעל הימנית ואחר כך את השמאלית. חבר אמר לי שאני לא נוהג לפי ההלכה. האם הוא צודק?",כן,"שו""ע או""ח ב:ה","או""ח","תשובה: כן

מקור: שו""ע או""ח ב:ד",כן,"שו""ע או""ח ב:ד",True,True,True,False,False
לעיתים כשאני קם באמצע הלילה אני הולך לשירותים בלי לשים כיפה. המרחק מהמיטה לשירותים הוא בערך חמישה מטרים. האם אני עובר על ההלכה בכך שאני הולך ללא כיסוי ראש למרחק כזה?,כן,"שו""ע או""ח ב:ו","או""ח","תשובה: כן
מקור: שו""ע או""ח ב:ו",כן,"שו""ע או""ח ב:ו",True,True,True,True,True
חבר שלי אמר לי שאני חייב לשפוך מים שלוש פעמים על כל יד בנטילת ידיים של הבוקר (אני נוהג לשפוך רק פעם אחת). האם אני עושה נכון?,לא,"שו""ע או""ח ד:ב","או""ח","תשובה: לא
מקור: שו""ע או""ח ד':ב",לא,"שו""ע או""ח ד':ב",True,True,True,True,True
"בבוקר כשקמתי, החזקתי את הכלי עם המים ביד שמאל ושפכתי קודם על יד ימין. האם פעלתי לפי הדין?",לא,"שו""ע או""ח ד:י","או""ח","תשובה: כן
מקור: שו""ע או""ח ד':ב",כן,"שו""ע או""ח ד':ב",False,True,True,False,False
למדתי כל הלילה לפני מבחן חשוב ולא ישנתי בכלל. בבוקר התלבטתי אם אני צריך ליטול ידיים כמו בכל בוקר רגיל. לבסוף נטלתי ידיים מבלי לברך. האם פעלתי כשורה?,כן,"שו""ע או""ח ד:יג","או""ח","תשובה: כן
מקור: שו""ע או""ח ד':יג",כן,"שו""ע או""ח ד':יג",True,True,True,True,True
"חבר שלי נוהג לישון צהריים שעתיים בקביעות, ולאחר שהוא מתעורר הוא נוטל את ידיו שלוש פעמים עם ברכה ""על נטילת ידיים"". הוא אמר לי שכך המנהג לאחר שינת קבע ביום. האם הוא נוהג לפי הדין?",לא,"שו""ע או""ח ד:טו","או""ח","תשובה: לא
מקור: שו""ע או""ח ד:יג",לא,"שו""ע או""ח ד:יג",True,True,True,False,False
"חבר שלי אמר לי שכשהוא מזכיר את השם בתפילות ובברכות, הוא חושב על כך שהשם נמצא בכל מקום בעולם. האם זאת הכוונה הנכונה על פי ההלכה?",לא,"שו""ע או""ח ה:א","או""ח","תשובה: לא
מקור: שו""ע או""ח ה':א",לא,"שו""ע או""ח ה':א",True,True,True,True,True
"חבר אמר לי שברכת ""אשר יצר"" מברכים רק אחרי שעושים צרכים גדולים ולא אחרי הטלת מי רגליים. האם זה באמת כך לפי ההלכה?",לא,"שו""ע או""ח ו:א","או""ח","תשובה: לא
מקור: שו""ע או""ח ו:א",לא,"שו""ע או""ח ו:א",True,True,True,True,True
